state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
KS,tract,avepp,lcut,4,730798,738142,829,2168,755,60.05,0.26,0.49453944,1021.12,0.49453926,1,600.06,9,1489,2,0
MS,tract,avepp,lcut,4,736619,744021,878,2378,824,60.01,0.21,0.408222792,1801.86,0.408222701,0.998777101,600.04,9,1726,2,0
AR,tract,avepp,lcut,4,749117,756645,823,2240,752,60.02,0.19,0.383042052,1261.63,0.383042052,0.999757056,612.45,9,696,2,0
NV,tract,avepp,lcut,4,772273,780034,779,2022,723,60.05,0.2,0.498909508,360.7,0.498909268,1,600.21,9,1775,2,0
IA,tract,avepp,lcut,4,793605,801580,896,2348,833,60.02,0.19,0.455171975,721.18,0.455171895,0.999914805,610.09,9,736,2,0
UT,tract,avepp,lcut,4,813815,821993,716,1950,678,60.01,0.2,0.555472421,1326.53,0.555472151,1,600.08,9,3712,2,0
CT,tract,avepp,lcut,5,717583,724794,883,2458,778,60.01,0.29,0.502788137,1322.23,0.502788025,1,600.03,9,1914,2,0
OK,tract,avepp,lcut,5,787912,795829,1205,3170,882,60.01,0.33,0.389288964,1322.08,0.389288825,1,600.1,9,1501,2,0
OR,tract,avepp,lcut,6,702679,709740,1001,2770,514,60.01,0.31,0.40023786,1261.89,0.400237744,1,600.07,9,1882,2,0
KY,tract,avepp,lcut,6,747218,754727,1306,3579,685,60.01,0.41,0.379694906,722.07,0.379694814,0.999900296,600.07,9,914,2,0
LA,tract,avepp,lcut,6,772412,780174,1388,3861,729,60.01,0.49,0.329755337,903.03,0.329755235,1,600.09,9,638,2,0
AL,tract,avepp,lcut,7,714166,721342,1437,4014,782,60.02,0.61,0.414933,782.42,0.414932964,1,600.11,9,1094,2,0
SC,tract,avepp,lcut,7,727548,734859,1323,3677,1123,60.02,0.72,0.368799924,842.36,0.368799858,0.999960951,600.07,9,335,2,0
MN,tract,avepp,lcut,8,709746,716878,1505,4102,892,60.03,0.79,0.404473233,782.53,0.404473173,0.999778301,600.1,9,660,2,0
CO,tract,avepp,lcut,8,718106,725322,1447,3909,996,60.03,0.71,0.514306711,662.46,0.514306462,1,600.22,9,1059,2,0
WI,tract,avepp,lcut,8,733032,740398,1542,4253,1078,60.01,0.98,0.479203494,722.7,0.479203494,0.999721119,600.15,9,922,2,0
MO,tract,avepp,lcut,8,765518,773210,1654,4488,1031,60.03,1.3,0.44128969,843.18,0.441289631,0.999796408,600.16,9,351,2,0
MD,tract,avepp,lcut,8,768293,776013,1475,3993,910,60.01,1.02,0.39905504,782.6,0.399054842,0.999867604,600.14,9,1274,2,0
IN,tract,avepp,lcut,9,750178,757717,1696,4627,1062,60.01,1.71,0.47939874,603.04,0.47939874,1,600.1,9,1867,2,0
TN,tract,avepp,lcut,9,764032,771710,1701,4691,984,60.01,1.12,0.391888766,723.36,0.391888766,0.999763224,600.16,9,531,2,0
MA,tract,avepp,lcut,9,777197,785007,1620,4577,894,60.03,0.99,0.36536806,723.36,0.36536806,1,600.16,9,375,2,0
AZ,tract,avepp,lcut,9,790639,798584,1765,4593,1057,60.02,1.14,0.359573251,723.35,0.359573251,1,600.11,9,408,2,0
WA,tract,avepp,lcut,10,766676,774380,1784,4986,1060,60.01,1.4,0.3582533,603.84,0.358253259,1,600.14,9,293,2,0
VA,tract,avepp,lcut,11,780749,788595,2198,6064,1247,60.02,1.39,0.314343608,725.06,0.314343608,1,600.14,9,14,2,0
NJ,tract,avepp,lcut,12,770213,777953,2181,6061,1235,60.02,1.75,0.446257858,725.07,0.446257858,1,600.1,9,7,2,0
MI,tract,avepp,lcut,13,771304,779055,3017,7989,1760,60.03,3.21,0.417788879,727.18,0.417788879,1,600.18,9,4,3,1
NC,tract,avepp,lcut,14,741943,749398,2672,7422,1409,60.04,2.29,0.375639431,847.82,0.375639431,1,600.19,9,9,2,0
GA,tract,avepp,lcut,14,761311,768961,2796,7762,1526,60.03,2.59,0.31188955,1093.88,0.31188955,1,600.2,9,71,2,0
OH,tract,avepp,lcut,15,782697,790563,3168,8747,1764,60.03,3.7,0.42911831,971.45,0.429458406,1,600.23,9,4,2,0
IL,tract,avepp,lcut,17,749909,757445,3265,8728,1724,60.05,12.68,0.384648558,856.16,0.384648558,1,600.62,9,1,2,0
PA,tract,avepp,lcut,17,761041,768689,3446,9641,1725,60.05,3.86,0.340041522,856.26,0.340041522,1,600.27,9,8,2,0
TX,tract,avepp,lcut,38,763153,770821,6896,18554,2905,60.3,72.28,0.274177269,221.84,0.274177269,1,615.31,9,1,2,0
